date,patient_volume,staff_on_duty,surgeries_completed,er_wait_time_minutes
2025-07-21,116,23,50,73
2025-07-22,115,20,50,67
2025-07-23,120,22,50,69
2025-07-24,111,20,46,62
2025-07-25,109,21,45,72
2025-07-26,10,8,7,4
2025-07-27,44,10,18,28
2025-07-28,103,23,44,67
2025-07-29,130,22,53,77
2025-07-30,101,21,42,58
2025-07-31,130,25,53,80
2025-08-01,103,21,43,59
2025-08-02,54,10,24,36
2025-08-03,42,13,18,23
2025-08-04,96,20,39,66
2025-08-05,88,21,37,53
2025-08-06,111,22,46,71
2025-08-07,121,23,50,70
2025-08-08,124,20,50,75
2025-08-09,52,12,22,37
2025-08-10,41,9,18,25
2025-08-11,126,20,53,75
2025-08-12,123,25,52,76
2025-08-13,92,16,38,56
2025-08-14,127,22,52,69
2025-08-15,110,18,45,58
2025-08-16,35,12,15,40
2025-08-17,57,13,23,42
2025-08-18,111,21,48,65
2025-08-19,137,24,56,87
2025-08-20,110,25,46,62
2025-08-21,129,26,54,66
2025-08-22,109,20,45,67
2025-08-23,52,10,23,39
2025-08-24,58,15,26,41
2025-08-25,118,19,49,70
2025-08-26,124,21,50,77
2025-08-27,119,24,49,69
2025-08-28,134,24,55,74
2025-08-29,113,21,47,64
2025-08-30,68,13,29,41
2025-08-31,71,16,31,38
2025-09-01,124,25,51,77
2025-09-02,112,24,49,64
2025-09-03,113,24,48,63
2025-09-04,113,21,45,61
2025-09-05,104,19,43,63
2025-09-06,73,13,32,45
2025-09-07,49,13,20,36
2025-09-08,122,24,51,83
2025-09-09,110,20,45,62
2025-09-10,110,23,47,62
2025-09-11,107,21,44,66
2025-09-12,123,20,52,80
2025-09-13,40,10,18,31
2025-09-14,59,17,25,35
2025-09-15,99,18,41,68
2025-09-16,112,22,46,71
2025-09-17,157,27,64,93
2025-09-18,130,28,54,73
2025-09-19,128,26,54,76
2025-09-20,66,17,29,46
2025-09-21,47,12,22,29
2025-09-22,125,22,52,78
2025-09-23,122,23,49,74
2025-09-24,129,28,53,75
2025-09-25,123,26,51,72
2025-09-26,129,24,53,75
2025-09-27,66,12,28,39
2025-09-28,67,12,28,45
2025-09-29,143,26,58,90
2025-09-30,98,15,41,56
2025-10-01,104,22,43,59
2025-10-02,100,21,42,59
2025-10-03,147,24,59,80
2025-10-04,49,12,21,36
2025-10-05,31,12,14,31
2025-10-06,125,24,52,74
2025-10-07,129,27,53,78
2025-10-08,118,25,48,78
2025-10-09,119,19,49,66
2025-10-10,132,23,54,66
2025-10-11,43,6,17,35
2025-10-12,61,15,25,40
2025-10-13,119,20,51,73
2025-10-14,116,22,48,57
2025-10-15,116,21,47,66
2025-10-16,146,28,59,85
2025-10-17,140,27,58,76
2025-10-18,60,14,26,43
2025-10-19,65,13,29,43
2025-10-20,151,26,64,86
2025-10-21,110,20,45,67
2025-10-22,127,22,52,84
2025-10-23,145,27,60,83
2025-10-24,129,22,53,66
2025-10-25,55,14,23,45
2025-10-26,31,6,14,30
2025-10-27,145,25,61,82
2025-10-28,117,24,49,60
2025-10-29,142,29,58,82
2025-10-30,127,24,52,70
2025-10-31,119,25,50,67
2025-11-01,61,8,27,31
2025-11-02,44,9,18,37
2025-11-03,112,22,46,68
2025-11-04,121,20,51,68
2025-11-05,96,18,41,62
2025-11-06,114,21,47,77
2025-11-07,125,24,53,73
2025-11-08,46,11,20,32
2025-11-09,60,14,26,39
2025-11-10,121,19,51,72
2025-11-11,134,19,57,76
2025-11-12,136,23,57,72
2025-11-13,110,25,45,66
2025-11-14,133,25,55,78
2025-11-15,86,17,36,58
2025-11-16,66,17,29,37
2025-11-17,144,24,59,78
2025-11-18,119,23,49,71
2025-11-19,144,27,59,86
2025-11-20,137,23,57,82
2025-11-21,115,25,47,68
2025-11-22,47,12,19,26
2025-11-23,73,14,30,35
2025-11-24,110,18,47,70
2025-11-25,109,25,46,62
2025-11-26,82,21,33,42
2025-11-27,135,30,57,80
2025-11-28,128,25,53,75
2025-11-29,51,12,21,34
2025-11-30,24,8,10,16
2025-12-01,122,26,51,63
2025-12-02,105,22,43,61
2025-12-03,128,22,53,67
2025-12-04,110,22,44,67
2025-12-05,119,23,49,76
2025-12-06,51,11,22,38
2025-12-07,50,12,21,31
2025-12-08,98,23,39,55
2025-12-09,109,23,45,70
2025-12-10,109,21,44,75
2025-12-11,102,20,43,63
2025-12-12,117,22,48,67
2025-12-13,64,19,27,35
2025-12-14,48,17,20,42
2025-12-15,145,25,60,90
2025-12-16,114,21,47,61
2025-12-17,110,19,46,61
2025-12-18,123,20,51,75
2025-12-19,90,19,39,48
2025-12-20,75,17,31,47
2025-12-21,58,13,25,34
2025-12-22,122,20,50,66
2025-12-23,108,23,46,67
2025-12-24,103,19,44,62
2025-12-25,154,28,63,85
2025-12-26,122,22,51,75
2025-12-27,38,8,15,31
2025-12-28,33,5,15,38
2025-12-29,119,24,49,69
2025-12-30,133,24,55,78
2025-12-31,109,23,45,60
2026-01-01,128,22,53,73
2026-01-02,136,26,56,82
2026-01-03,70,16,30,38
2026-01-04,34,9,14,26
2026-01-05,120,24,49,72
2026-01-06,120,19,49,69
2026-01-07,101,21,43,66
2026-01-08,116,25,48,66
2026-01-09,110,20,45,65
2026-01-10,52,12,23,41
2026-01-11,64,11,25,46
2026-01-12,99,19,40,50
2026-01-13,128,25,52,61
2026-01-14,111,22,44,66
2026-01-15,119,24,49,64
2026-01-16,137,25,56,73
2026-01-17,43,9,19,40
2026-01-18,29,6,15,23
2026-01-19,109,23,44,73
2026-01-20,130,23,56,71
2026-01-21,131,25,55,83
2026-01-22,120,21,50,66
2026-01-23,150,27,61,85
2026-01-24,29,7,14,21
2026-01-25,34,11,16,30
2026-01-26,134,23,54,84
2026-01-27,115,21,49,70
2026-01-28,126,28,51,77
2026-01-29,120,23,51,72
2026-01-30,128,26,52,69
2026-01-31,34,6,17,21
2026-02-01,46,11,20,37
2026-02-02,132,23,54,77
2026-02-03,116,25,48,71
2026-02-04,129,26,53,68
2026-02-05,125,22,51,75
2026-02-06,138,25,57,87
2026-02-07,53,18,23,27
2026-02-08,61,14,27,43
